id,autoSubmitted,autoSubmittedLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,inferredRoles,inferredRolesLastChangedAt,playerID,playerIDLastChangedAt,roleSubmittedAt,roleSubmittedAtLastChangedAt,roundID,roundIDLastChangedAt,selectedRole,selectedRoleLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01KK16CBTEMQCJ0ZHEQR9R0WED,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:06:42.638826191Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:06:42.638826191Z,{},2026-03-06T09:06:49.925766303Z,01KK152B7R4ZD53WXFFZ6BYJE1,2026-03-06T09:06:42.638826191Z,1772788009664,2026-03-06T09:06:49.924337347Z,01KK16CBGWWQ9FZSTD7BYJG7CG,2026-03-06T09:06:42.638826191Z,1,2026-03-06T09:06:49.916209668Z,01KK16CBHWQMQ6G7TWXHE7JHVC,2026-03-06T09:06:42.638826191Z,true,2026-03-06T09:06:49.928901945Z
01KK16JK1TH197B4W5WW67A2FV,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:10:06.650853174Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:10:06.650853174Z,"{""0"":0,""1"":0}",2026-03-06T09:10:19.411935627Z,01KK156D2KMM2MHNDEQKNRSXGT,2026-03-06T09:10:06.650853174Z,1772788219609,2026-03-06T09:10:19.403951558Z,01KK16HDD9CZJ4MMV6EEDJVCXJ,2026-03-06T09:10:06.650853174Z,2,2026-03-06T09:10:19.395545068Z,01KK16JJYQVQP3WTJCT6D8QTFM,2026-03-06T09:10:06.650853174Z,true,2026-03-06T09:10:19.406549056Z
01KK16MKQC2QZEG4B2H9M6JESZ,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:11:12.876534338Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:11:12.876534338Z,,,01KK152B7R4ZD53WXFFZ6BYJE1,2026-03-06T09:11:12.876534338Z,,,01KK16HX8P0SW37R418W4C8CGS,2026-03-06T09:11:12.876534338Z,,,01KK16MKNEWVPX93NHRRZ5BEM4,2026-03-06T09:11:12.876534338Z,true,2026-03-06T09:11:16.725641899Z
01KK16R9T5CWWT4A2TVN42GN1J,,,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:13:13.797956824Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:13:13.797956824Z,,,01KK15D81NJ35HBJ07N6ACFCPZ,2026-03-06T09:13:13.797956824Z,,,01KK16FZD1TXP2Q3TSAS2S2PJG,2026-03-06T09:13:13.797956824Z,,,01KK16R9RBVW0MFDVS78C1JM96,2026-03-06T09:13:13.797956824Z,true,2026-03-06T09:13:36.914054012Z
01KK16DV91TTBH4NTW0MKJ508M,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:07:31.234084826Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:07:31.234084826Z,{},2026-03-06T09:07:45.631211636Z,01KK14YQA50QAFCAK6W01QR3B7,2026-03-06T09:07:31.234084826Z,1772788065037,2026-03-06T09:07:45.627454827Z,01KK16DV06Q1FP9X4NX7Y9QX7G,2026-03-06T09:07:31.234084826Z,0,2026-03-06T09:07:45.628565098Z,01KK16DV0TEGXJ1PXGHJE49YMD,2026-03-06T09:07:31.234084826Z,true,2026-03-06T09:07:45.636170858Z
01KK17JWM908JRBNQ10Q50GZ2B,,,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:27:45.033228938Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:27:45.033228938Z,{},2026-03-06T09:27:50.297831793Z,01KK156FDQVJQ278PX88B67FJS,2026-03-06T09:27:45.033228938Z,1772789269664,2026-03-06T09:27:50.309462768Z,01KK17JWA29ENEP6QVB7NYGZT6,2026-03-06T09:27:45.033228938Z,0,2026-03-06T09:27:50.304918182Z,01KK17JWAY6BRYY3W0514QW2FP,2026-03-06T09:27:45.033228938Z,true,2026-03-06T09:27:50.314621072Z
01KK16FJC19QJ2GRZKECDYD9MK,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:08:27.649798699Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:08:27.649798699Z,{},2026-03-06T09:08:32.46164014Z,01KK14VZHF7ANFGF38NNJCNQ5J,2026-03-06T09:08:27.649798699Z,1772788111745,2026-03-06T09:08:32.460159626Z,01KK16FJ2J2CMXZNNK2B4Z6QHC,2026-03-06T09:08:27.649798699Z,0,2026-03-06T09:08:32.452988048Z,01KK16FJ3JANRR5E3RE62NV73B,2026-03-06T09:08:27.649798699Z,true,2026-03-06T09:08:32.458987141Z
01KK18AHE1GGZDC2DGA80YDMBM,true,2026-03-06T09:40:40.037577866Z,01KK14SSXNQ645HH7AJXYEQV6N,2026-03-06T09:40:40.001079774Z,01KK14SSY8E64SK69715NN1TMW,2026-03-06T09:40:40.001079774Z,,,01KK1541ATE0SZ921D4RW5PNQ6,2026-03-06T09:40:40.001079774Z,1772790040033,2026-03-06T09:40:40.037577866Z,01KK18AH4922JFJNXYD0XH8Z18,2026-03-06T09:40:40.001079774Z,0,2026-03-06T09:40:40.037577866Z,01KK18AH4SZTTFR8YREQ3S2RZ2,2026-03-06T09:40:40.001079774Z,true,2026-03-06T09:40:40.037577866Z
01KK1870W8Y6F0P49AHHY64S7R,true,2026-03-06T09:38:44.773248464Z,01KK14SSXNQ645HH7AJXYEQV6N,2026-03-06T09:38:44.744539507Z,01KK14SSY8E64SK69715NN1TMW,2026-03-06T09:38:44.744539507Z,,,01KK15V3W97WBJW05NQ6ZQT7MZ,2026-03-06T09:38:44.744539507Z,1772789924844,2026-03-06T09:38:44.847067927Z,01KK1863181MX44SCZPENR8122,2026-03-06T09:38:44.744539507Z,0,2026-03-06T09:38:44.773248464Z,01KK1870T1P1NNCFV1M12A8EMY,2026-03-06T09:38:44.744539507Z,true,2026-03-06T09:38:44.773248464Z
01KK16C4E1KDXND05KVFZH64M8,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:06:35.073071641Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:06:35.073071641Z,,,01KK151EAZ3RYJENNDVWS0NTPD,2026-03-06T09:06:35.073071641Z,,,01KK169M1NNDT7N9NMC20V24K4,2026-03-06T09:06:35.073071641Z,,,01KK16C4CKECCQXZ249N47A623,2026-03-06T09:06:35.073071641Z,true,2026-03-06T09:06:42.305295831Z
